,Date,Job,Scenario,Area,Price,Fundamental Metric
0,2024-01-02,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,96.98736407550787,266.9691420676864
1,2024-01-03,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CGK,51.3099572133754,181.05504951474026
2,2024-01-04,BC_Jan22_Aug24_G6WithRe,Scenario_A,CHB,17.282592117622976,193.70411092624573
3,2024-01-06,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,92.29568385408832,829.2415630554078
4,2024-01-09,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,40.68297602377922,89.24792626758693
5,2024-01-11,BC_Jan22_Aug24_G6WithRe,Scenario_B,SYS,40.45725700518312,198.5629793186857
6,2024-01-14,BC_Jan22_Aug24_G6WithRe,Scenario_B,SYS,77.673817011958,163.16342146863005
7,2024-01-15,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKD,66.22911776404085,262.82424670676505
8,2024-01-16,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,86.28689624607301,411.7535856280229
9,2024-01-17,BC_Jan22_Aug24_G6WithRe,Scenario_B,TKO,93.49848065586758,788.9712093821025
10,2024-01-19,BC_Jan22_Aug24_G6WithRe,Scenario_B,CHB,94.26731623560224,815.5589610218997
11,2024-01-20,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKR,37.39915788931756,176.833689349976
12,2024-01-22,BC_Jan22_Aug24_G6WithRe1,Scenario_A,KNS,80.26864271148513,427.146813550359
13,2024-01-25,BC_Jan22_Aug24_G6WithRe,Scenario_A,CGK,47.90666245605253,751.8221414016717
14,2024-01-29,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,57.90390922419476,950.3214655018589
15,2024-02-01,BC_Jan22_Aug24_G6WithRe1,Scenario_A,SYS,15.714463000640643,893.9352926809032
16,2024-02-02,BC_Jan22_Aug24_G6WithRe,Scenario_B,CGK,27.743484349409986,962.1742093303562
17,2024-02-03,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,46.21914252666003,678.4730918554535
18,2024-02-07,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKD,29.878099914760668,185.21690557702297
19,2024-02-11,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CGK,83.51922242911832,312.88164101385485
20,2024-02-15,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,63.17618128075626,883.2444511460545
21,2024-02-16,BC_Jan22_Aug24_G6WithRe,Scenario_B,CGK,71.9129194100912,462.61869943515666
22,2024-02-19,BC_Jan22_Aug24_G6WithRe,Scenario_B,TKO,76.66889989322362,139.28527630667486
23,2024-02-23,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CHB,94.8478924237978,106.7999997598521
24,2024-02-24,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKR,9.630590458238563,745.0202718031171
25,2024-02-25,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKD,7.179817545057643,507.9344893776451
26,2024-02-28,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,48.219536257173104,845.0652479424176
27,2024-02-29,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,96.04495809917643,808.283984818481
28,2024-03-03,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKR,45.555963443411414,67.06239901639243
29,2024-03-05,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CHB,25.462295866185436,307.2319930868216
30,2024-03-06,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,86.79155246293926,218.2497929329461
31,2024-03-10,BC_Jan22_Aug24_G6WithRe,Scenario_B,SYS,46.359560828365545,89.20541764994793
32,2024-03-12,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CGK,73.54794738557007,936.7078246326485
33,2024-03-13,BC_Jan22_Aug24_G6WithRe,Scenario_A,CGK,96.52269066960653,259.2724052185354
34,2024-03-17,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,91.4519904346247,858.740850995293
35,2024-03-21,BC_Jan22_Aug24_G6WithRe1,Scenario_A,SYS,38.282655065536375,237.6860958175877
36,2024-03-22,BC_Jan22_Aug24_G6WithRe,Scenario_A,CHB,68.22705666113208,994.2794532290759
37,2024-03-24,BC_Jan22_Aug24_G6WithRe,Scenario_B,HKD,35.5155666856013,631.2566521204149
38,2024-03-28,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKR,61.75509844413685,988.4132249171979
39,2024-03-31,BC_Jan22_Aug24_G6WithRe1,Scenario_B,KNS,27.682313180627215,422.1281049741531
40,2024-04-02,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKD,33.376846125732406,681.070341958339
41,2024-04-06,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,62.36254592173655,815.6730739044356
42,2024-04-09,BC_Jan22_Aug24_G6WithRe1,Scenario_A,TKO,37.50736032592427,166.82571555266313
43,2024-04-13,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CGK,37.16972044401565,135.08211017478055
44,2024-04-14,BC_Jan22_Aug24_G6WithRe1,Scenario_B,SYS,56.43766707260749,752.609566682601
45,2024-04-15,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,13.693185243510797,814.4876570195088
46,2024-04-16,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CGK,73.15170414160512,693.9924223756449
47,2024-04-20,BC_Jan22_Aug24_G6WithRe,Scenario_B,HKR,70.59625540379443,995.5549675401538
48,2024-04-24,BC_Jan22_Aug24_G6WithRe,Scenario_A,HKD,18.992106603529336,167.37759796512964
49,2024-04-28,BC_Jan22_Aug24_G6WithRe,Scenario_B,HKD,13.555335330257812,297.6905303366929
50,2024-05-01,BC_Jan22_Aug24_G6WithRe,Scenario_B,HKR,72.89540092302018,374.3308491675217
51,2024-05-03,BC_Jan22_Aug24_G6WithRe,Scenario_B,TKO,81.05794763299818,0.8801158845875845
52,2024-05-05,BC_Jan22_Aug24_G6WithRe1,Scenario_B,KNS,47.91128626133829,5.130768508194716
53,2024-05-07,BC_Jan22_Aug24_G6WithRe1,Scenario_B,HKD,13.116040275007347,717.9077731340118
54,2024-05-08,BC_Jan22_Aug24_G6WithRe,Scenario_A,HKR,29.642892911449557,924.9437710065866
55,2024-05-09,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CHB,64.52207613649395,919.1651897767412
56,2024-05-10,BC_Jan22_Aug24_G6WithRe,Scenario_A,HKR,90.29466953138648,457.71140228352357
57,2024-05-12,BC_Jan22_Aug24_G6WithRe1,Scenario_A,HKD,26.410500390844625,787.8849667286095
58,2024-05-15,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,24.062244465109327,630.2099837826564
59,2024-05-19,BC_Jan22_Aug24_G6WithRe,Scenario_A,TKO,43.488762078281574,892.0211963838316
60,2024-05-20,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,7.698602366207474,846.2272994595031
61,2024-05-21,BC_Jan22_Aug24_G6WithRe,Scenario_A,SYS,32.24948190161119,419.6391035016766
62,2024-05-24,BC_Jan22_Aug24_G6WithRe1,Scenario_B,SYS,36.06780460566396,278.11490987081055
63,2024-05-25,BC_Jan22_Aug24_G6WithRe1,Scenario_B,KNS,8.531373410985443,683.928451389579
64,2024-05-28,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CHB,23.19043365215503,385.2096245224487
65,2024-06-01,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CHB,94.86798944141452,160.83295896929394
66,2024-06-05,BC_Jan22_Aug24_G6WithRe,Scenario_A,KNS,44.86631105871408,297.7431605887415
67,2024-06-06,BC_Jan22_Aug24_G6WithRe1,Scenario_A,CHB,91.21443797701069,717.1434139313591
68,2024-06-10,BC_Jan22_Aug24_G6WithRe,Scenario_B,HKD,33.0873077078401,246.78141015267195
69,2024-06-14,BC_Jan22_Aug24_G6WithRe1,Scenario_B,CGK,26.464023214687472,157.7510020274434
70,2024-06-15,BC_Jan22_Aug24_G6WithRe1,Scenario_B,KNS,80.01364623103991,645.4788048472976
71,2024-06-16,BC_Jan22_Aug24_G6WithRe,Scenario_B,KNS,18.65268179645987,44.928532300747
72,2024-06-19,BC_Jan22_Aug24_G6WithRe1,Scenario_A,TKO,43.09659123215972,560.8750851531987
